1701,clarify,明らかにする
1702,smash,粉々に砕く
1703,mourn,悲しむ
1704,summon,呼ぶ
1705,shatter,粉々にする
1706,linger,残る
1707,lament,嘆く
1708,endowed,恵まれる
1709,rejoice,喜ぶ
1710,allocate,配分する
1711,slap,ピシャリと打つ
1712,contend,主張する
1713,swear,誓う
1714,discern,識別する
1715,degrade,悪化させる
1716,erect,築く
1717,testify,証言する
1718,spur,駆りたてる
1719,roam,歩き回る
1720,frown,まゆをひそめる
1721,lure,呼び込む
1722,defy,逆らう
1723,stroll,ぶらつく
1724,rattle,がたがた鳴らす
1725,reconcile,調和させる
1726,blur,ぼやかす
1727,soothe,なだめる
1728,impair,低下させる
1729,comply,従う
1730,pierce,穴をあける
1731,stumble,つまずく
1732,hinder,さまたげる
1733,mock,あざける
1734,embody,具現する
1735,stalk,忍び寄る
1736,proclaim,宣言する
1737,applaud,拍手する
1738,inflict,与える
1739,merge,合併する
1740,evacuated,避難した
1741,undone,元に戻る
1742,poke,突く
1743,haunted,つきまとわれる
1744,adhere,固く守る
1745,compile,まとめる
1746,wither,しぼむ
1747,stun,びっくりさせる
1748,choke,のどがつまる
1749,deteriorate,悪化する
1750,dump,捨てる
1751,murmur,つぶやく
1752,delete,削除する
1753,inhibit,阻害する
1754,divert,そらす
1755,tame,飼いならす
1756,reap,手に入れる
1757,affirm,断言する
1758,immersed,浸る
1759,expire,期限が切れる
1760,embark,乗り出す
1761,vow,誓う
1762,foresee,予知する
1763,adore,崇拝する
1764,yearn,切望する
1765,undermine,弱める
1766,suck,吸う
1767,pledge,誓う
1768,intrude,立ち入る
1769,sue,訴える
1770,distort,歪曲する
1771,extinguish,消す
1772,preach,説教する
1773,curb,抑制する
1774,withstand,耐える
1775,dip,浸す
1776,recite,暗唱する
1777,thrust,押し込む
1778,plead,嘆願する
1779,humiliate,恥をかかせる
1780,discharge,放出する
1781,condemn,非難する
1782,retrieve,検索する
1783,shrug,肩をすくめる
1784,evoke,呼び起こす
1785,fetch,取ってくる
1786,flatter,お世辞を言う
3003,mow,刈る
3004,peer,じっと見る
3005,flap,パタパタ動く
3006,pant,あえぐ
1787,prose,散文
1788,textile,織物
1789,timber,材木
1790,masterpiece,傑作
1791,riot,暴動
1792,carriage,車両
1793,apparatus,装置
1794,fuss,大騒ぎ
1795,deficiency,欠乏
1796,heir,相続人
1797,equator,赤道
1798,petroleum,石油
1799,witch,魔女
1800,vapor,蒸気
1801,probe,探査機
1802,expertise,専門知識
1803,scorn,軽蔑
1804,prophet,預言者
1805,breeze,そよ風
1806,sin,罪
1807,surge,急増
1808,complement,補うもの
1809,queue,列
1810,stake,賭け金
1811,ambassador,大使
1812,jury,陪審員
1813,cluster,集団
1814,lump,こぶ
1815,meadow,牧草地
1816,feat,偉業
1817,temperament,気質
1818,chill,寒気
1819,appliance,器具
1820,predecessor,前任者
1821,entity,存在
1822,hospitality,もてなし
1823,narrative,話
1824,segment,部分、区分
1825,catastrophe,大災害
1826,monarch,君主、皇帝
1827,constraint,制約
1828,amendment,改正、修正
1829,cosmos,宇宙
1830,aisle,通路
1831,hierarchy,階級制度
1832,toll,通行料
1833,transaction,取引
1834,burglar,強盗
1835,tyranny,圧政
1836,parasite,寄生生物
1837,intuition,直感
1838,communist,共産主義の
1839,legacy,遺産
1840,vein,静脈
1841,discourse,論説
1842,dairy,乳製品、酪農
1843,artifact,工芸品
1844,outlet,はけ口
1845,apprehension,不安
1846,melancholy,憂うつ
1847,novelty,目新しさ
1848,specimen,標本
1849,hygiene,衛生
1850,tactics,戦術
1851,monopoly,独占
1852,token,印
1853,aristocracy,貴族階級
1854,revenge,復讐
1855,activist,活動家
1856,rhetoric,美辞麗句
1857,entrepreneur,起業家
1858,census,国勢調査
1859,verge,瀬戸際
1860,advent,出現、到来
