358,educate,～を教育する
359,borrow,～を借りる
360,invent,～を発明する
361,promote,～を促進する
362,advise,～に忠告する
363,retire,辞める
364,permit,～を許す
365,recommend,～を勧める
366,apologize,謝る
367,inform,～に知らせる
368,oppose,～に反対する
369,trust,～を信用する
370,select,～を選ぶ
371,praise,～をほめる
372,handle,～に対処する
373,propose,～を提案する
374,breathe,～を呼吸する
375,criticize,～を非難する
376,overcome,～に打ち勝つ
377,possess,～を持っている
378,predict,～を予言する
379,publish,～を出版する
380,floating,浮かぶ
381,recall,～を思い出す
382,explore,～を探検する
383,pretend,ふりをする
384,absorb,～を吸収する
385,resemble,～に似ている
386,tear,～を引き裂く
387,consume,～を消費する
601,proceed,進む
602,ensure,～を確実にする
603,interpret,～を解釈する
604,cease,～しなくなる
605,ban,（公式に）～を禁止する
606,obey,～に従う
607,eliminate,(不要なもの)を除去する
608,resist,～に抵抗する
609,accompany,〈人〉に同伴する
610,commit,〈罪など〉を犯す、～をゆだねる、委任する、(本気で)取り組む
611,pursue,～を追求する
612,demonstrate,(証明などが)～を明らかに示す
613,bet,きっと～だと思う
614,ruin,～を台無しにする、破壊する
615,threaten,～を脅迫する
616,attach,AをBにくっつける
617,reverse,～を反対にする、逆転する
618,restrict,～を制限する
619,compose,～を組み立てる
620,lean,よりかかる、もたれる
621,substitute,～を代わりに用いる
622,trace,～の跡をたどる
623,interrupt,～を妨げる
624,confront,～の前に立ちふさがる、～に立ち向かう
625,illustrate,～を（例で）示す
626,arrest,～を逮捕する
627,stimulate,～を刺激する
628,assure,（～を）保証する
629,consult,～に相談する、～を参照する
630,depress,～を憂鬱にさせる
631,crash,激突する
632,inspire,～を奮起させる、やる気にさせる
633,specialize,Aを専門にする、専攻する
634,cultivate,(植物)を栽培する、(感情・能力などを)育む
635,fulfill,(約束・夢など)を果たす
636,transmit,～を送る、伝える
637,found,～を創立する、設立する
638,clap,(手など)をたたく
639,burst,破裂する、突然～しだす
640,bow,おじぎする
641,dismiss,(考えなど)を無視する、(人)を解雇する、解散する
642,breed,～を繁殖させる、繁殖する
643,prohibit,〈法・団体が〉～を禁じる
644,oblige,～に強いる
645,qualify,Aに適任である
646,invest,（金）を投資する
647,grasp,～を理解する
648,collapse,崩壊する
649,overlook,～を見落とす、～を見逃す
650,accuse,～を非難する
651,frustrate,〈人〉を欲求不満にさせる
652,deprive,AからBを奪う
653,astonish,～を驚嘆させる
654,register,～を登録する
655,correspond,一致する
656,cast,～を投げる
657,attribute,AはBのおかげだと思う
658,neglect,～を無視する、怠る
659,starve,飢える
660,resolve,(問題など)を解決する
661,impose,AをBに課す、押し付ける
662,convert,～を転換する
663,scare,～をおびえさせる
664,constitute,～を構成する、占める、～である
665,appoint,～を任命する
666,imply,～を(暗に)意味する
667,assign,(仕事・物)を割り当てる
668,nod,うなずく
669,elect,～を選挙で選ぶ
670,transfer,～を移す
671,rob,AからBを奪う
672,capture,～を捕らえる
673,undertake,（仕事など）を引き受ける
674,drown,おぼれ死ぬ
675,split,～を割る、分裂する
676,resort,Aに訴える
677,descend,下る、降りる
678,irritate,～をいらだたせる
679,pronounce,〈単語など〉を発音する
680,equip,～を装備させる
681,cheat,いかさまをする
682,emerge,〈隠れていたものが〉現れる
683,devote,～をささげる
684,heal,〈けがなど〉を治す、治る
685,urge,～に強く迫る、～を説得する
686,envy,～をうらやむ
687,chase,～を追いかける
688,prompt,～を促す
689,withdraw,～を引っ込める、引きこもる、退く、(預金など)を引き出す
690,detect,～を探知する、～を発見する
691,interfere,Aを邪魔する
692,kid,冗談を言う、からかう
693,launch,(ロケットなど)を打ち上げる
694,endanger,～を危険にさらす
695,foster,～を促進する、育成する
696,diminish,減少する、衰える、～を減らす
697,spill,～をこぼす
698,infect,〈人〉に感染する
699,stem,Aから生じる、Aに由来する
700,tap,～を軽くたたく
701,embrace,受け入れる、含む
853,declare,～を宣言する
854,alter,～を変える
855,arise,生じる
856,transform,変える
857,defeat,～を打ち負かす
858,investigate,～を調査する
859,distinguish,～を見分ける
860,bury,～を埋める
861,cope,うまく対処する
862,occur,起こる
863,accomplish,～をやりとげる
864,hesitate,ためらう
865,endure,～に耐える
866,conclude,～と結論づける
867,guarantee,～を保証する
868,dominate,～を支配する
869,confirm,～を裏付ける
870,greet,～にあいさつする
871,entertain,～を楽しませる
872,defend,～を守る
873,forbid,～を禁じる
874,broadcast,～を放送する
875,sacrifice,～を犠牲にする
876,punish,～を罰する
877,glance,ちらりと見る
878,retain,～を保持する
879,calculate,～を計算する
880,sinking,沈む
881,rescue,～を救助する
882,beg,～と乞う
883,define,定義する
884,deceive,～をだます
885,convey,～を伝える
886,sustain,～を維持する
887,purchase,～を購入する
888,fade,薄れる
889,regulate,～を規制する
890,distribute,～を分配する
891,enhance,～を向上させる
892,chat,おしゃべりする
893,exceed,～を超える
894,wipe,～をふく
895,cooperate,協力する
896,inherit,～を受け継ぐ
897,unite,～を団結させる
898,leap,跳ぶ
899,exaggerate,～を誇張する
900,conquer,～を征服する
901,melt,溶ける
902,invade,～に侵入する
903,modify,～を修正する
904,scatter,～をばらまく
905,undergo,～を経験する
906,evaluate,～を評価する
907,bend,身をかがめる
908,derive,由来する
909,screaming,悲鳴をあげる
910,gaze,見つめる
911,pray,祈る
388,compete,競争する
389,quit,～をやめる
390,announce,～を発表する
391,react,反応する
392,wander,歩き回る
393,text,メールを送る
394,generate,～を生み出す
395,score,～を取る
356,annoy,～をいらいらさせる
357,differ,異なる
517,gene,遺伝子
518,evidence,証拠
519,consequence,結果
520,infant,幼児
521,leisure,暇
522,cell,細胞
523,talent,才能
524,advertising,広告
525,extent,程度
526,garbage,ごみ
702,proportion,比率
703,contract,契約
704,chest,胸
705,treasure,財宝
706,stock,株(式)
707,facility,設備、施設
708,sum,金額、合計、要約
709,rank,地位
710,democracy,民主主義、民主国家
711,emergency,緊急事態
712,protest,抗議
713,immigrant,移民
714,vehicle,車、乗り物、手段
715,routine,決まりきった仕事、日課
716,stuff,物
717,row,列
718,profile,プロフィール、人物紹介、横顔
719,dawn,夜明け
720,welfare,福祉
721,perspective,見方
722,enthusiasm,熱意、情熱
723,faith,信頼
724,occupation,職業、占領
725,witness,証人、目撃者
726,kingdom,王国
727,equivalent,同等のもの、相当するもの
728,objective,目的、目標、客観的な
729,pile,積み重ね
730,shelter,避難(所)
731,trial,試み、裁判
732,honor,名誉
733,territory,領土、なわ張り
734,frame,わく
735,border,国境地帯
736,statistics,統計(学)
737,enterprise,企業、事業
738,context,文脈、状況
739,load,荷物
740,grain,穀物
741,review,再検討
742,prejudice,偏見
743,strain,負担
744,trap,わな、閉じ込められる、わなにかける
745,temper,気性
746,slave,奴隷
747,wound,傷
748,divorce,離婚
749,tune,曲
750,height,高さ、最盛期
751,faculty,学部、能力
752,span,期間
753,dimension,側面、要素、次元
754,version,型、...版、翻訳、説明
755,parallel,類似(物)、匹敵するもの
756,horizon,地平線
757,acquaintance,知人
758,burden,重荷
759,basis,基礎、根拠、方式、やり方
760,poison,毒
761,constitution,憲法
762,administration,経営、行政
763,charm,魅力
764,organ,臓器、器官
765,prey,獲物、えじき
766,venture,冒険的事業
767,mission,使命、任務
768,inquiry,調査、質問、問い合わせ
769,award,賞
770,strip,細長い一片
771,distress,苦しみ、悲嘆、苦難
772,circulation,循環、流通、発行部数
773,shade,陰、日陰
774,stereotype,典型的なイメージ、類型、固定観念
775,client,依頼人
776,output,生産高
777,lord,神
778,convention,慣習、しきたり、会議、大会
779,mine,鉱山
780,craft,工芸、技術、巧みに作る
781,core,中心、核心
782,stroke,脳卒中、発作、打撃、一撃、なでる
783,frontier,国境
784,peer,同僚、じっと見る
785,vessel,血管、船、器
786,disability,障害
787,gravity,重力
788,ethic,倫理(学)
789,terminal,終点
790,tide,潮流、潮の干満
791,abuse,虐待
927,laboratory,研究所
928,conference,会議
929,continent,大陸
930,insurance,保険
931,crew,乗組員たち
932,poverty,貧乏
933,shortage,不足
934,affair,情勢
935,exception,例外
936,wage,賃金
937,wisdom,知恵
938,tax,税金
939,evolution,進化
940,barrier,壁
941,category,範ちゅう
942,unit,単位
943,reputation,評判
944,virtue,美徳
945,courage,勇気
946,sympathy,同情
947,union,組合
948,civilization,文明
949,volume,冊
950,blossom,花
951,era,時代
952,dispute,紛争
953,tourism,観光
954,mankind,人類
955,murder,殺人
956,landscape,風景
957,destination,目的地
958,tale,話
959,reform,改革
960,muscle,筋肉
961,prospect,見通し
962,corporation,企業
963,colony,植民地
964,quarrel,口論
965,profession,職業
966,aspect,側面
967,pause,休止
968,conflict,対立
969,privilege,特権
970,prosperity,繁栄
971,genius,天才
972,seed,種
973,symptom,症状
974,merit,長所
975,layer,層
976,clue,手がかり
977,circumstances,状況
978,district,地区
979,prison,刑務所
980,companion,仲間
981,executive,重役
982,Justice,正義
983,procedure,手続き
984,ray,光線
985,heaven,天国
986,luxury,贅沢
987,oxygen,酸素
988,fund,資金
989,theme,主題、テーマ
990,boundary,境界
991,ambition,熱望
992,forecast,予報
993,psychology,心理学
994,labor,労働
995,committee,委員会
996,physician,医者
997,philosophy,哲学
998,affection,愛情
999,candidate,候補
1000,bomb,爆弾
1001,priority,優先
1002,obstacle,障害
1003,appetite,食欲
1004,tension,緊張
1005,tribe,部族
1006,budget,予算
1007,campaign,運動、キャンペーン
1008,sorrow,悲しみ
1009,satellite,衛星
1010,insight,洞察
1011,cough,せき
1012,fate,運命
1013,scheme,計画
1014,insult,侮辱
1015,inhabitant,住民
1016,fossil,化石
1017,motive,動機
1018,instinct,本能
1019,legend,伝説
1020,empire,帝国
